fpr,tpr,threshold
0.005768148564997186,0.9081632653061225,0.10531288493481779
0.011131823297692741,0.9081632653061225,0.07430434193958144
0.011131823297692741,0.9183673469387755,0.07428389033314721
0.019238885762521103,0.9183673469387755,0.052239971929925196
0.019274057400112548,0.9183673469387755,0.05222857528493161
0.021454698930782216,0.9183673469387755,0.04834947410916073
0.021489870568373662,0.9183673469387755,0.04833764358349759
0.029579347214406304,0.9183673469387755,0.03921040820162774
0.029632104670793472,0.9183673469387755,0.0392072215566776
0.03522439504783343,0.9183673469387755,0.03480630820551159
0.03522439504783343,0.9285714285714286,0.0347856124867773
0.035540939786156446,0.9285714285714286,0.03454764653695712
0.03559369724254361,0.9285714285714286,0.03452528471983409
0.04178390545863815,0.9285714285714286,0.031108160497735262
0.041819077096229604,0.9285714285714286,0.031107300716354213
0.04229389420371413,0.9285714285714286,0.030886679217437856
0.04229389420371413,0.9387755102040817,0.03087899575053423
0.043753517163759144,0.9387755102040817,0.03000037126923272
0.043823860438942035,0.9387755102040817,0.03
0.05059440067529544,0.9387755102040817,0.026666700400598133
0.05075267304445695,0.9387755102040817,0.02666666666666667
0.0549732695554305,0.9387755102040817,0.025004967533849246
0.055008441193021944,0.9387755102040817,0.025003783945511185
0.0594576533483399,0.9387755102040817,0.023333621604466927
0.059598339898705686,0.9387755102040817,0.023333333333333334
0.06209552616769837,0.9387755102040817,0.02259952130739863
0.06213069780528981,0.9387755102040817,0.022584237822631685
0.06448719752391671,0.9387755102040817,0.021786130051054765
0.06453995498030388,0.9387755102040817,0.021785365068876725
0.06559510410804727,0.9387755102040817,0.021556783178540727
0.06563027574563872,0.9387755102040817,0.02155650076929832
0.06696679797411367,0.9387755102040817,0.021113299645535585
0.06703714124929656,0.9387755102040817,0.021113241024077786
0.07118739448508722,0.9387755102040817,0.02000013678340153
0.07153911086100169,0.9387755102040817,0.02
0.0716270399549803,0.9387755102040817,0.019997186170025674
0.07166221159257175,0.9387755102040817,0.019995740174066648
0.07489800225098481,0.9387755102040817,0.019166963426054152
0.0749683455261677,0.9387755102040817,0.01916638637234664
0.0758124648283624,0.9387755102040817,0.018892381714613455
0.07584763646595385,0.9387755102040817,0.018892288933441196
0.07590039392234102,0.9387755102040817,0.018891917664208474
0.0759531513787282,0.9387755102040817,0.01889176134032101
0.07628728193584693,0.9387755102040817,0.018889553265410603
0.07632245357343838,0.9387755102040817,0.018889514184438738
0.07635762521102983,0.9387755102040817,0.018889260158121614
0.07639279684862127,0.9387755102040817,0.01888918199617788
0.07644555430500845,0.9387755102040817,0.01888888888888889
0.07655106921778278,0.9387755102040817,0.018888634862571762
0.07667416994935285,0.9387755102040817,0.018888028644994857
0.07672692740574001,0.9387755102040817,0.018887970486050048
0.0767972706809229,0.9387755102040817,0.018887599216817322
0.07683244231851435,0.9387755102040817,0.018887442892929863
0.07695554305008441,0.9387755102040817,0.018886231382802026
0.07699071468767586,0.9387755102040817,0.018886211842316095
0.0770258863252673,0.9387755102040817,0.01888618187565155
0.07706105796285875,0.9387755102040817,0.01888617276134423
0.07890756893640968,0.9387755102040817,0.018336271133081315
0.07894274057400112,0.9387755102040817,0.018336258789198544
0.07906584130557119,0.9387755102040817,0.01833332770699784
0.07910101294316263,0.9387755102040817,0.018332805795878173
0.07920652785593697,0.9387755102040817,0.018330696758771005
0.07924169949352843,0.9387755102040817,0.018330279556096497
0.08172129994372539,0.9387755102040817,0.01778000539317412
0.08175647158131683,0.9387755102040817,0.017779966312202255
0.0818795723128869,0.9387755102040817,0.017779223773736804
0.08191474395047833,0.9387755102040817,0.017779028368877476
0.08217853123241418,0.9387755102040817,0.017777621453890315
0.08224887450759708,0.9387755102040817,0.017777113401256064
0.08701463140123804,0.9387755102040817,0.016666959773955662
